Id,NameAz,NameEn,NameRu
1,BMW,BMW,BMW
2,Mercedes-Benz,Mercedes-Benz,Мерседес Бенц
4,Hyundai,Hyundai,Hyundai
5,AUDI,AUDI,AUDI
6,TOYOTA,TOYOTA,TOYOTA
7,CHEVROLET,CHEVROLET,CHEVROLET
8,KIA,KIA,KIA
9,VOLVO,VOLVO,VOLVO
10,FORD,FORD,FORD
11,LAND ROVER,LAND ROVER,LAND ROVER
12,LEXUS,LEXUS,LEXUS
13,JEEP,JEEP,JEEP
14,,,
