Id,NameAz,NameEn,NameRu
1,Hetçbek,Hatchback,Хэтчбек
2,Sedan,Sedan,Sedan
3,Kupe,Coupe,Купе
5,Offroader / SUV,Offroader / SUV,Внедорожник / SUV
