Id,NameAz,NameEn,NameRu
1,Qirmizi,Red,Красный
2,Mavi,Blue,Cиний
4,Boz,Gray,Cерый
5,Qara,Black,Черный
6,Ağ,White,Белый
7,Yaş Asfalt,Marengo,Мокрый асфальт
8,Gümüşü,Silver,Серебристый
9,Bej,Beige,Бежевый
10,Tünd qırmızı,Burgundy,Бордовый
11,Göy,Navy blue,Синий
12,Sarı,Yellow,Желтый
13,Bənövşəyi,Purple,Фиолетовый
15,Narıncı,Orange,Оранжевый
16,Qızılı,Golden,Золотистый
17,Yaşıl,Green,Зеленый
18,Qəhvəyi,Brown,Коричневый
